REM rick roll code
DEFAULTDELAY 80
GUI r
STRING chrome
ENTER
DELAY 200  
STRING h
DELAY 200
STRING t
DELAY 200
STRING t
DELAY 200
STRING p
DELAY 200
STRING s
DELAY 200
STRING :
DELAY 200
STRING /
DELAY 200
STRING /
DELAY 200
STRING w
DELAY 200
STRING w
DELAY 200
STRING w
DELAY 200
STRING .
DELAY 200
STRING y
DELAY 200
STRING o
DELAY 200
STRING u
DELAY 200
STRING t
DELAY 200
STRING u
DELAY 200
STRING b
DELAY 200
STRING e
DELAY 200 
STRING .
DELAY 200
STRING c
DELAY 200
STRING o
DELAY 200
STRING m
DELAY 200
STRING /
DELAY 200
STRING w
DELAY 200
STRING a
DELAY 200
STRING t
DELAY 200
STRING c
DELAY 200
STRING h
DELAY 200
STRING ?
DELAY 200
STRING v
DELAY 200 
STRING =
DELAY 200
STRING d
DELAY 200 
STRING Q
DELAY 200
STRING w
DELAY 200
STRING 4
DELAY 200
STRING w
DELAY 200
STRING 9
DELAY 200
STRING W
DELAY 200
STRING g
DELAY 200
STRING X 
DELAY 200
STRING c
DELAY 200
STRING Q
DELAY 200
ENTER
DELAY 200
GUI r
STRING notepad
DELAY 200
ENTER
STRING made by FuccMyOppZzz956 on github
